### Selected Probes ###
IP Address,Probe ID
85.246.212.230,51190
176.78.84.166,Unknown
85.241.7.253,60983
82.154.125.226,33827
185.32.189.249,6328
85.246.97.232,55042
185.32.189.9,12219
95.93.136.7,1000430
109.51.253.8,1000434
95.92.162.141,1000426
195.23.164.6,1006807
188.80.24.188,62771
185.166.144.140,1000043
85.240.42.223,1000905
185.118.112.5,6667
188.83.156.241,53026
95.92.221.105,1003036
85.247.253.63,65190
85.246.206.229,53089
188.83.52.181,50701
95.95.103.170,28492
85.139.166.39,1005509
176.79.108.87,1000907
95.92.167.81,Unknown
193.106.144.26,Unknown
95.92.179.231,Unknown
95.92.176.98,1000431
185.90.57.221,1009857
188.208.143.112,1004057
193.136.2.26,25598
85.139.253.154,1000438
5.253.129.251,53504
81.193.225.151,50252
2.83.79.215,54843
85.138.172.35,33293
213.190.194.244,54938
213.190.199.20,1004118
149.90.124.78,60986
80.243.84.215,27102
37.189.198.125,1010251
81.193.159.247,50483
185.83.215.224,1002598
79.168.87.57,1002992
93.108.248.238,53839
77.54.68.124,53990
94.61.189.101,54690
148.71.112.42,54947
94.61.245.64,61488
94.61.112.194,62651
46.189.243.7,803
84.91.128.99,64051
89.109.72.117,1001271
212.113.162.110,1000347
95.92.173.13,1000422
89.152.144.132,1001047
89.153.232.207,1001264
79.168.151.42,1001290
79.169.248.37,1001291
95.94.21.110,1001333
89.154.162.96,1001337
89.155.1.29,1001690
109.48.223.184,1001708
109.49.238.3,1001709
79.168.148.118,1001712
95.94.128.51,1001728
95.95.58.152,1001831
95.93.223.132,1001843
85.138.167.106,1001847
89.153.89.70,1001903
94.132.225.126,1001905
109.49.202.248,1001928
95.92.182.237,1001933
79.168.17.228,1002054
85.138.21.245,1002403
85.138.21.196,1002891
81.84.153.90,1003026
95.95.73.4,1003029
85.139.219.139,1003030
109.49.183.239,1005355
85.139.74.231,1007550
109.48.202.107,1009106
89.153.156.83,1009113
95.94.95.47,12162
95.95.221.106,2489
95.94.115.106,52343
85.139.90.205,52516
109.49.55.136,53533
109.49.85.67,53963
85.245.19.93,1002374
82.154.138.141,1008676
85.243.139.51,1010208
82.155.18.140,50669
188.250.116.171,54701
85.245.77.205,54806
176.79.74.198,55757
81.193.125.170,61151
185.98.249.57,18113
149.90.236.149,1004102
95.93.139.121,1001981
95.95.224.17,1002995

### Distance Matrix ###
,85.246.212.230,176.78.84.166,85.241.7.253,82.154.125.226,185.32.189.249,85.246.97.232,185.32.189.9,95.93.136.7,109.51.253.8,95.92.162.141,195.23.164.6,188.80.24.188,185.166.144.140,85.240.42.223,185.118.112.5,188.83.156.241,95.92.221.105,85.247.253.63,85.246.206.229,188.83.52.181,95.95.103.170,85.139.166.39,176.79.108.87,95.92.167.81,193.106.144.26,95.92.179.231,95.92.176.98,185.90.57.221,188.208.143.112,193.136.2.26,85.139.253.154,5.253.129.251,81.193.225.151,2.83.79.215,85.138.172.35,213.190.194.244,213.190.199.20,149.90.124.78,80.243.84.215,37.189.198.125,81.193.159.247,185.83.215.224,79.168.87.57,93.108.248.238,77.54.68.124,94.61.189.101,148.71.112.42,94.61.245.64,94.61.112.194,46.189.243.7,84.91.128.99,89.109.72.117,212.113.162.110,95.92.173.13,89.152.144.132,89.153.232.207,79.168.151.42,79.169.248.37,95.94.21.110,89.154.162.96,89.155.1.29,109.48.223.184,109.49.238.3,79.168.148.118,95.94.128.51,95.95.58.152,95.93.223.132,85.138.167.106,89.153.89.70,94.132.225.126,109.49.202.248,95.92.182.237,79.168.17.228,85.138.21.245,85.138.21.196,81.84.153.90,95.95.73.4,85.139.219.139,109.49.183.239,85.139.74.231,109.48.202.107,89.153.156.83,95.94.95.47,95.95.221.106,95.94.115.106,85.139.90.205,109.49.55.136,109.49.85.67,85.245.19.93,82.154.138.141,85.243.139.51,82.155.18.140,188.250.116.171,85.245.77.205,176.79.74.198,81.193.125.170,185.98.249.57,149.90.236.149,95.93.139.121,95.95.224.17
