### Selected Probes ###
IP Address,Probe ID
85.246.212.230,51190
176.78.84.166,Unknown
82.154.125.226,33827
95.93.136.7,1000430
95.92.162.141,1000426
195.23.164.6,1006807
188.80.24.188,62771
185.166.144.140,1000043
188.83.156.241,53026
95.92.221.105,1003036
85.247.253.63,65190
85.246.206.229,53089
188.83.52.181,50701
95.95.103.170,28492
85.139.166.39,1005509
176.79.108.87,1000907
95.92.167.81,Unknown
193.106.144.26,Unknown
95.92.179.231,Unknown
95.92.176.98,1000431
85.139.253.154,1000438
5.253.129.251,53504
81.193.225.151,50252
85.138.172.35,33293
213.190.194.244,54938
213.190.199.20,1004118
149.90.124.78,60986
80.243.84.215,27102
37.189.198.125,1010251
81.193.159.247,50483
185.83.215.224,1002598
79.168.87.57,1002992
93.108.248.238,53839
77.54.68.124,53990
148.71.112.42,54947
94.61.245.64,61488
94.61.112.194,62651
46.189.243.7,803
84.91.128.99,64051
89.109.72.117,1001271
95.92.173.13,1000422
85.139.59.9,1001015
89.155.99.85,1001018
89.154.90.188,1001020
89.152.144.132,1001047
89.155.21.15,1001066
89.152.242.165,1001067
89.153.232.207,1001264
89.153.107.108,1001294
95.94.21.110,1001333
89.154.162.96,1001337
89.155.1.29,1001690
109.48.223.184,1001708
79.168.148.118,1001712
79.169.248.235,1001720
95.94.128.51,1001728
95.93.119.192,1001731
81.84.100.159,1001827
95.95.58.152,1001831
79.169.67.177,1001852
89.155.115.154,1001858
94.132.225.126,1001905
94.132.166.61,1001908
79.168.196.176,1001922
81.84.244.50,1001930
95.92.182.237,1001933
79.168.241.82,1001997
79.168.17.228,1002054
85.138.21.245,1002403
79.169.246.221,1002994
81.84.153.90,1003026
95.95.73.4,1003029
85.139.219.139,1003030
109.49.128.157,1003031
79.168.116.172,1003032
109.49.183.239,1005355
85.139.74.231,1007550
109.48.202.107,1009106
89.153.156.83,1009113
95.94.95.47,12162
95.95.221.106,2489
95.94.115.106,52343
85.139.90.205,52516
109.49.55.136,53533
109.49.85.67,53963
82.155.18.140,50669
176.79.74.198,55757
81.193.125.170,61151
185.98.249.57,18113
149.90.236.149,1004102
85.138.185.15,1003009
95.93.139.121,1001981
89.155.57.136,1003001
109.48.5.76,1003002
79.168.55.204,1003003
85.138.48.185,1003005
89.155.94.74,1003011
109.48.4.45,1003015
85.139.106.63,1003019
176.223.9.98,21242

### Distance Matrix ###
,85.246.212.230,176.78.84.166,82.154.125.226,95.93.136.7,95.92.162.141,195.23.164.6,188.80.24.188,185.166.144.140,188.83.156.241,95.92.221.105,85.247.253.63,85.246.206.229,188.83.52.181,95.95.103.170,85.139.166.39,176.79.108.87,95.92.167.81,193.106.144.26,95.92.179.231,95.92.176.98,85.139.253.154,5.253.129.251,81.193.225.151,85.138.172.35,213.190.194.244,213.190.199.20,149.90.124.78,80.243.84.215,37.189.198.125,81.193.159.247,185.83.215.224,79.168.87.57,93.108.248.238,77.54.68.124,148.71.112.42,94.61.245.64,94.61.112.194,46.189.243.7,84.91.128.99,89.109.72.117,95.92.173.13,85.139.59.9,89.155.99.85,89.154.90.188,89.152.144.132,89.155.21.15,89.152.242.165,89.153.232.207,89.153.107.108,95.94.21.110,89.154.162.96,89.155.1.29,109.48.223.184,79.168.148.118,79.169.248.235,95.94.128.51,95.93.119.192,81.84.100.159,95.95.58.152,79.169.67.177,89.155.115.154,94.132.225.126,94.132.166.61,79.168.196.176,81.84.244.50,95.92.182.237,79.168.241.82,79.168.17.228,85.138.21.245,79.169.246.221,81.84.153.90,95.95.73.4,85.139.219.139,109.49.128.157,79.168.116.172,109.49.183.239,85.139.74.231,109.48.202.107,89.153.156.83,95.94.95.47,95.95.221.106,95.94.115.106,85.139.90.205,109.49.55.136,109.49.85.67,82.155.18.140,176.79.74.198,81.193.125.170,185.98.249.57,149.90.236.149,85.138.185.15,95.93.139.121,89.155.57.136,109.48.5.76,79.168.55.204,85.138.48.185,89.155.94.74,109.48.4.45,85.139.106.63,176.223.9.98
